"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 09 10:45:11 YEKT 2020","Thu Jul 09 10:45:11 YEKT 2020","90","Tests","test_order","TestOrder","","","test_order_one",""
"broken","Thu Jul 09 10:44:36 YEKT 2020","Thu Jul 09 10:45:02 YEKT 2020","26259","Tests","test_checking","TestOne","","","test_e2e",""
